item,budget_2026_text,budget_2026_man_yen,share_2026_pct,budget_2025_text,budget_2025_man_yen,share_2025_pct,change_rate_pct,sort_key
町税,"25億3,000万円",253000,27.7,"25億2,670万円",252670,25.3,0.1,1.0
個人町民税,"10億6,730万円",106730,11.7,"10億4,800万円",104800,10.5,1.8,1.1
法人町民税,"1億4,050万円",14050,1.5,"1億5,040万円",15040,1.5,-6.6,1.2
固定資産税,10億70万円,100070,11.0,"9億9,810万円",99810,10.0,0.3,1.3
軽自動車税,"7,240万円",7240,0.8,"7,520万円",7520,0.7,-3.7,1.4
町たばこ税,"1億1,000万円",11000,1.2,"1億1,500万円",11500,1.2,-4.3,1.5
入湯税,330万円,330,0.0,300万円,300,0.0,10.0,1.6
都市計画税,"1億3,580万円",13580,1.5,"1億3,700万円",13700,1.4,-0.9,1.7
地方譲与税,"6,000万円",6000,0.6,"6,200万円",6200,0.6,-3.2,2.0
利子割交付金,600万円,600,0.1,90万円,90,0.0,566.7,3.0
配当割交付金,"2,300万円",2300,0.2,"1,500万円",1500,0.2,53.3,4.0
株式等譲渡所得割交付金,"2,800万円",2800,0.3,"1,400万円",1400,0.1,100.0,5.0
法人事業税交付金,"4,300万円",4300,0.5,"4,200万円",4200,0.4,2.4,6.0
地方消費税交付金,"5億5,000万円",55000,6.0,"5億3,200万円",53200,5.3,3.4,7.0
環境性能割交付金,0万円,0,,500万円,500,0.1,,7.1
地方特例交付金,"3,000万円",3000,0.3,"1,500万円",1500,0.2,100.0,8.0
地方交付税,24億円,240000,26.2,24億円,240000,24.0,0.0,9.0
交通安全対策特別交付金,277万円,277,0.0,287万円,287,0.0,-3.5,10.0
分担金及び負担金,"2,439万円",2439,0.3,"3,273万円",3273,0.3,-25.5,11.0
使用料及び手数料,"1億1,100万円",11100,1.2,"1億1,024万円",11024,1.1,0.7,12.0
国庫支出金,"9億9,461万円",99461,10.9,"10億4,431万円",104431,10.5,-4.8,13.0
県支出金,"4億6,324万円",46324,5.1,"4億4,149万円",44149,4.4,4.9,14.0
財産収入,"1,855万円",1855,0.2,"1,709万円",1709,0.2,8.6,15.0
寄附金,0万円,0,0.0,0万円,0,0.0,0.0,16.0
繰入金,"5億3,854万円",53854,5.9,"6億6,148万円",66148,6.6,-18.6,17.0
繰越金,"1億8,000万円",18000,1.8,"1億8,000万円",18000,1.8,0.0,18.0
諸収入,"6億6,710万円",66710,7.3,"6億5,739万円",65739,6.6,1.5,19.0
町債,"4億7,180万円",47180,5.2,"12億2,580万円",122580,12.3,-61.5,20.0
合計,"91億4,200万円",914200,100.0,"99億8,600万円",998600,100.0,-8.5,
