date,level,district,households,total_population,male,female
2024-10-01,総数,総数,8728,18562,8937,9625
2024-10-01,区,1区,1150,2423,1168,1255
2024-10-01,町区,東町上,72,168,88,80
2024-10-01,町区,東町中1,120,225,107,118
2024-10-01,町区,東町中2,107,247,118,129
2024-10-01,町区,東町下,79,174,83,91
2024-10-01,町区,仲町,54,103,51,52
2024-10-01,町区,大門1,89,175,86,89
2024-10-01,町区,大門2,118,258,123,135
2024-10-01,町区,大門3,43,78,36,42
2024-10-01,町区,田中町,52,112,58,54
2024-10-01,町区,矢木町1,68,124,63,61
2024-10-01,町区,矢木町2,72,159,74,85
2024-10-01,町区,矢木町3,82,180,81,99
2024-10-01,町区,桜町,124,269,121,148
2024-10-01,町区,緑町,70,151,79,72
2024-10-01,区,2区,493,1006,469,537
2024-10-01,町区,立町1部,44,104,46,58
2024-10-01,町区,立町2部,50,98,44,54
2024-10-01,町区,小湯の上1部,95,197,88,109
2024-10-01,町区,横町木の下,18,35,16,20
2024-10-01,町区,湯田町,35,67,35,32
2024-10-01,町区,湯田仲町,40,68,32,36
2024-10-01,町区,新町上,57,125,62,63
2024-10-01,町区,新町下,45,84,46,38
2024-10-01,町区,御田町,77,168,76,92
2024-10-01,町区,塚田町,32,59,24,35
2024-10-01,区,3区,3455,7294,3515,3779
2024-10-01,町区,大社通,26,56,30,26
2024-10-01,町区,友之町,39,105,53,52
2024-10-01,町区,広瀬町,44,91,39,52
2024-10-01,町区,富士見町,42,87,45,42
2024-10-01,町区,菅野町,55,107,46,61
2024-10-01,町区,上馬場,34,71,34,37
2024-10-01,町区,平沢町,24,44,26,18
2024-10-01,町区,中央通,57,100,43,57
2024-10-01,町区,関屋,61,106,42,64
2024-10-01,町区,花咲町,30,49,18,31
2024-10-01,町区,中汐町,35,64,29,35
2024-10-01,町区,春日町,34,68,36,32
2024-10-01,町区,矢木東,69,137,61,76
2024-10-01,町区,矢木西,75,180,92,88
2024-10-01,町区,東弥生町,51,91,42,49
2024-10-01,町区,西弥生町,172,355,190,165
2024-10-01,町区,栄町,55,117,55,62
2024-10-01,町区,曙町,50,126,60,66
2024-10-01,町区,魁町,36,73,36,37
2024-10-01,町区,東四王,74,144,61,83
2024-10-01,町区,西四王1部,100,223,107,116
2024-10-01,町区,西四王2部,139,292,147,145
2024-10-01,町区,西四王3部,149,293,139,154
2024-10-01,町区,西四王4部,145,332,158,174
2024-10-01,町区,南四王1部,104,267,132,135
2024-10-01,町区,南四王2部,197,352,172,180
2024-10-01,町区,北四王,53,126,56,70
2024-10-01,町区,東鷹野町,157,387,185,202
2024-10-01,町区,西鷹野町1部,88,190,91,99
2024-10-01,町区,西鷹野町2部,211,420,197,223
2024-10-01,町区,清水町,189,416,182,234
2024-10-01,町区,東赤砂,510,1063,534,529
2024-10-01,町区,西赤砂,411,868,419,449
2024-10-01,区,4区,548,1181,581,600
2024-10-01,町区,上久保1,40,97,50,47
2024-10-01,町区,上久保2,40,78,40,38
2024-10-01,町区,久保海道1組,40,87,46,41
2024-10-01,町区,久保海道2組,42,98,52,46
2024-10-01,町区,湖畔町南,125,199,105,94
2024-10-01,町区,湖畔町北,78,178,79,99
2024-10-01,町区,武居南,87,217,105,112
2024-10-01,町区,武居北,96,227,104,123
2024-10-01,区,5区,596,1156,543,613
2024-10-01,町区,東高木,138,304,146,158
2024-10-01,町区,西高木,123,221,106,115
2024-10-01,町区,南高木,111,215,103,112
2024-10-01,町区,北高木,224,416,188,228
2024-10-01,区,6区,359,700,347,353
2024-10-01,町区,萩倉東組,58,119,55,64
2024-10-01,町区,萩倉西組,55,111,55,56
2024-10-01,町区,樋橋,7,15,8,7
2024-10-01,町区,東俣,6,10,5,5
2024-10-01,町区,町屋敷1組,70,132,62,70
2024-10-01,町区,町屋敷2組,63,116,59,57
2024-10-01,町区,町屋敷3組,54,97,51,46
2024-10-01,町区,下屋敷,46,100,52,48
2024-10-01,区,7区,695,1679,816,863
2024-10-01,町区,東山田第1,51,110,55,55
2024-10-01,町区,東山田第2,69,193,101,92
2024-10-01,町区,東山田第3,50,130,63,67
2024-10-01,町区,東山田第4,97,226,109,117
2024-10-01,町区,東山田第5,130,335,161,174
2024-10-01,町区,東山田第6,214,511,244,267
2024-10-01,町区,東山田第7,84,174,83,91
2024-10-01,区,8区,407,948,443,505
2024-10-01,町区,社東町第1,148,332,161,171
2024-10-01,町区,社東町第2,119,276,126,150
2024-10-01,町区,社東町第3,140,340,156,184
2024-10-01,町区,社東町第4,0,0,0,0
2024-10-01,区,9区,276,576,283,293
2024-10-01,町区,星が丘第1,64,143,69,74
2024-10-01,町区,星が丘第2,80,166,79,87
2024-10-01,町区,星が丘第3,63,127,63,64
2024-10-01,町区,星が丘第5,69,140,72,68
2024-10-01,区,10区,749,1599,772,827
2024-10-01,町区,西豊,129,308,148,160
2024-10-01,町区,西浜,71,173,82,91
2024-10-01,町区,高浜,184,383,194,189
2024-10-01,町区,東豊,54,100,48,52
2024-10-01,町区,本郷,81,172,83,89
2024-10-01,町区,五官,88,204,104,100
2024-10-01,町区,富ヶ丘,81,153,71,82
2024-10-01,町区,関屋,61,106,42,64
